Name,Lat,Long,Year,Mean
TIEGA,-35.1000,142.2000,2030,25.68
TOWAN,-35.1000,143.2000,1910,24.22
TOWAN,-35.1000,143.2000,1920,27.35
TOWAN,-35.1000,143.2000,1930,22.48
TOWAN,-35.1000,143.2000,1940,22.02
TOWAN,-35.1000,143.2000,1950,24.2
TOWAN,-35.1000,143.2000,1960,29.73
TOWAN,-35.1000,143.2000,2030,24.99
TULILLAH,-34.2000,141.8667,1930,23.73
TULILLAH,-34.2000,141.8667,1940,20.32
TULILLAH,-34.2000,141.8667,2030,20.81
TUNART SOUTH,-34.5000,141.3000,1930,30.06
TUNART SOUTH,-34.5000,141.3000,1940,24.27
TUNART SOUTH,-34.5000,141.3000,2030,23.16
TUTYE,-35.2000,141.5000,1920,28.28
TUTYE,-35.2000,141.5000,1930,26.68
TUTYE,-35.2000,141.5000,1940,25.15
TUTYE,-35.2000,141.5000,1950,22.62
TUTYE,-35.2000,141.5000,2030,25.45
TYNTYNDER STATION,-35.2000,143.5000,1890,29.04
TYNTYNDER STATION,-35.2000,143.5000,1900,26.53
TYNTYNDER STATION,-35.2000,143.5000,1910,25.87
TYNTYNDER STATION,-35.2000,143.5000,1920,26.78
TYNTYNDER STATION,-35.2000,143.5000,1930,23.91
TYNTYNDER STATION,-35.2000,143.5000,1940,25.53
TYNTYNDER STATION,-35.2000,143.5000,1950,24.52
TYNTYNDER STATION,-35.2000,143.5000,1960,30.72
TYNTYNDER STATION,-35.2000,143.5000,1970,28.15
TYNTYNDER STATION,-35.2000,143.5000,2030,26.76
TYNTYNDER WEST,-35.2000,143.4000,1900,25.36
TYNTYNDER WEST,-35.2000,143.4000,1910,25.35
TYNTYNDER WEST,-35.2000,143.4000,1920,28.46
TYNTYNDER WEST,-35.2000,143.4000,1930,25.4
TYNTYNDER WEST,-35.2000,143.4000,1940,23.82
TYNTYNDER WEST,-35.2000,143.4000,1950,23.72
TYNTYNDER WEST,-35.2000,143.4000,2030,25.35
